frames,x1,y1,w,h
1,583.5,124.5,593,378
2,587.5,126.5,585,377
3,593.5,128.5,575,371
4,595.5,131.5,570,377
5,599.5,134.5,562,366
6,606.5,138.5,551,373
7,608.5,143.5,544,368
8,616.5,147.5,534,354
9,625.5,147.5,534,353
10,631.5,149.5,527,347
11,642.5,147.5,513,354
12,649.5,146.5,496,347
13,654.5,152.5,480,363
14,655.5,149.5,456,363
15,645.5,148.5,454,353
16,634.5,148.5,454,348
17,624.5,148.5,447,347
18,614.5,147.5,440,343
19,578.5,147.5,438,347
20,562.5,145.5,434,348
21,547.5,144.5,429,343
22,528.5,144.5,427,345
23,508.5,144.5,428,345
24,474.5,144.5,424,337
25,460.5,145.5,419,336
26,442.5,145.5,418,340
27,431.5,145.5,411,341
28,418.5,144.5,407,341
29,394.5,146.5,402,333
30,388.5,145.5,393,335
31,376.5,142.5,390,338
32,372.5,145.5,381,333
33,375.5,144.5,355,329
34,358.5,143.5,359,332
35,351.5,140.5,352,336
36,343.5,141.5,352,338
37,334.5,142.5,355,336
38,331.5,138.5,354,343
39,327.5,136.5,339,347
40,326.5,133.5,318,348
41,323.5,134.5,337,347
42,320.5,134.5,337,347
43,319.5,134.5,335,347
44,320.5,136.5,329,341
45,320.5,137.5,326,337
46,314.5,136.5,333,336
47,316.5,136.5,333,347
48,321.5,135.5,326,353
49,324.5,132.5,326,355
50,324.5,136.5,326,353
51,323.5,133.5,330,356
52,325.5,136.5,331,360
53,332.5,135.5,328,365
54,346.5,130.5,322,367
55,362.5,135.5,308,369
56,362.5,135.5,312,370
57,368.5,135.5,310,371
58,371.5,132.5,311,375
59,372.5,132.5,320,377
60,377.5,135.5,318,367
61,375.5,134.5,323,363
62,389.5,134.5,314,362
63,390.5,133.5,317,361
64,397.5,128.5,318,354
65,400.5,125.5,314,354
66,405.5,119.5,313,355
67,410.5,115.5,315,349
68,415.5,111.5,320,366
69,427.5,93.5,312,381
70,433.5,94.5,308,378
71,434.5,98.5,309,376
72,435.5,98.5,308,364
73,434.5,96.5,311,369
74,426.5,96.5,321,372
75,427.5,96.5,321,381
76,426.5,96.5,325,384
77,426.5,94.5,319,395
78,425.5,94.5,325,382
79,423.5,95.5,328,376
80,431.5,94.5,312,381
81,430.5,92.5,321,377
82,434.5,92.5,328,377
83,430.5,93.5,342,374
84,434.5,92.5,348,374
85,441.5,93.5,357,359
86,443.5,94.5,361,369
87,447.5,92.5,361,369
88,451.5,91.5,358,374
89,455.5,90.5,354,369
90,456.5,88.5,346,366
91,459.5,87.5,337,373
92,463.5,87.5,332,374
93,460.5,87.5,336,368
94,454.5,87.5,345,366
95,458.5,89.5,347,364
96,459.5,91.5,352,405
97,460.5,92.5,358,403
98,462.5,92.5,361,398
99,466.5,93.5,363,399
100,474.5,94.5,364,407
101,479.5,95.5,367,392
102,485.5,95.5,366,402
103,492.5,95.5,368,396
104,494.5,98.5,371,390
105,510.5,96.5,364,387
106,514.5,97.5,367,386
107,534.5,98.5,351,384
108,549.5,96.5,340,380
109,560.5,96.5,334,375
110,566.5,96.5,330,364
111,569.5,96.5,327,359
112,572.5,96.5,328,356
113,575.5,96.5,324,355
114,577.5,95.5,324,352
115,583.5,94.5,321,357
116,584.5,95.5,317,353
117,587.5,94.5,311,357
118,588.5,94.5,310,367
119,591.5,93.5,316,383
120,595.5,90.5,325,364
121,595.5,87.5,323,386
122,590.5,87.5,331,384
123,587.5,86.5,337,386
124,585.5,86.5,340,375
125,577.5,82.5,351,373
126,577.5,78.5,349,376
127,561.5,76.5,361,398
128,567.5,74.5,348,398
129,559.5,72.5,350,401
130,562.5,69.5,331,408
131,562.5,69.5,328,406
132,566.5,69.5,321,404
133,576.5,69.5,309,415
134,570.5,70.5,315,407
135,577.5,71.5,326,400
136,577.5,72.5,328,396
137,578.5,74.5,328,377
138,576.5,75.5,330,392
139,574.5,77.5,331,403
140,575.5,81.5,339,391
141,571.5,82.5,346,393
142,568.5,85.5,351,395
143,558.5,88.5,362,392
144,548.5,92.5,372,393
145,535.5,87.5,388,396
146,533.5,88.5,392,395
147,532.5,90.5,396,395
148,532.5,91.5,400,393
149,531.5,90.5,406,392
150,530.5,89.5,412,406
151,530.5,88.5,414,411
152,530.5,88.5,418,411
153,530.5,91.5,419,412
154,530.5,89.5,423,418
155,532.5,89.5,427,418
156,535.5,90.5,431,413
157,531.5,88.5,440,413
158,522.5,84.5,454,414
159,514.5,84.5,469,413
160,508.5,80.5,490,422
161,491.5,80.5,511,423
162,501.5,76.5,505,425
163,509.5,73.5,502,434
164,515.5,75.5,508,437
165,511.5,73.5,513,454
166,504.5,72.5,518,443
167,489.5,70.5,536,441
168,491.5,69.5,540,435
169,502.5,72.5,503,437
170,516.5,77.5,478,436
171,515.5,79.5,484,439
172,523.5,84.5,481,440
173,528.5,86.5,479,446
174,531.5,88.5,482,457
175,536.5,97.5,500,457
176,540.5,101.5,507,456
177,546.5,103.5,503,458
178,548.5,104.5,505,463
179,552.5,103.5,506,470
180,559.5,105.5,513,476
181,557.5,107.5,517,480
182,563.5,105.5,508,486
183,577.5,103.5,498,494
184,586.5,101.5,492,498
185,594.5,94.5,490,504
186,592.5,91.5,497,506
187,598.5,89.5,494,507
188,604.5,88.5,490,509
189,610.5,88.5,483,510
190,617.5,85.5,476,508
191,620.5,83.5,477,511
192,621.5,81.5,468,506
193,619.5,81.5,468,498
194,614.5,80.5,477,492
195,613.5,77.5,476,472
196,613.5,75.5,472,465
197,611.5,73.5,469,461
198,610.5,70.5,467,458
199,609.5,69.5,461,454
200,609.5,66.5,428,450
201,607.5,65.5,435,459
202,600.5,63.5,432,458
203,600.5,66.5,436,456
204,599.5,65.5,421,459
