frames,x1,y1,w,h
6,0.5,0.5,97,103
7,0.5,0.5,121,215
8,0.5,17.5,178,153
9,0.5,0.5,211,199
10,118.5,63.5,186,183
11,62.5,58.5,199,202
12,108.5,53.5,226,207
13,174.5,107.5,196,195
14,181.5,119.5,212,183
15,251.5,146.5,111,167
16,264.5,161.5,115,160
17,205.5,161.5,181,161
18,191.5,156.5,221,181
19,264.5,151.5,136,209
20,265.5,146.5,139,175
21,274.5,145.5,132,197
22,248.5,145.5,159,215
23,242.5,145.5,164,214
24,243.5,145.5,163,215
25,252.5,144.5,154,216
26,254.5,144.5,152,216
27,253.5,144.5,153,216
28,251.5,143.5,155,214
29,249.5,144.5,157,207
30,248.5,144.5,158,202
31,248.5,144.5,159,201
32,259.5,147.5,152,213
33,292.5,153.5,124,164
34,240.5,157.5,176,161
35,234.5,166.5,187,152
36,222.5,173.5,198,144
37,220.5,175.5,200,143
38,222.5,178.5,198,140
39,224.5,179.5,196,139
40,226.5,179.5,194,139
41,226.5,179.5,194,139
42,227.5,179.5,193,139
43,227.5,179.5,193,139
44,228.5,179.5,192,139
45,229.5,179.5,191,139
46,229.5,178.5,192,140
47,229.5,178.5,192,140
48,230.5,178.5,191,140
49,230.5,178.5,191,144
50,230.5,179.5,191,143
51,230.5,178.5,191,144
52,230.5,178.5,191,144
53,230.5,179.5,192,143
54,230.5,179.5,194,143
55,230.5,181.5,199,141
56,225.5,182.5,209,140
57,218.5,182.5,217,137
58,216.5,182.5,220,137
59,216.5,182.5,220,137
60,216.5,182.5,221,137
61,216.5,182.5,221,137
62,217.5,181.5,220,138
63,218.5,181.5,219,138
64,217.5,182.5,220,137
65,217.5,182.5,220,137
66,216.5,182.5,222,140
67,213.5,183.5,228,139
68,222.5,185.5,225,137
69,220.5,188.5,236,134
70,228.5,192.5,236,134
71,212.5,194.5,255,133
72,204.5,188.5,270,140
73,204.5,195.5,275,137
74,206.5,196.5,275,136
75,208.5,197.5,276,135
76,210.5,197.5,276,135
77,210.5,197.5,274,135
78,212.5,196.5,269,136
79,212.5,196.5,269,136
80,211.5,195.5,271,137
81,212.5,196.5,270,136
82,212.5,195.5,270,137
83,212.5,196.5,270,136
84,212.5,197.5,271,135
85,213.5,198.5,271,134
86,212.5,199.5,272,133
87,213.5,199.5,287,133
88,212.5,199.5,289,134
89,211.5,201.5,293,132
90,210.5,202.5,300,131
91,211.5,202.5,316,131
92,211.5,202.5,317,131
93,209.5,202.5,320,131
94,209.5,202.5,320,131
95,207.5,203.5,322,130
96,205.5,202.5,324,131
97,204.5,202.5,325,131
98,204.5,200.5,324,133
99,204.5,199.5,324,134
100,202.5,200.5,326,133
101,202.5,200.5,326,133
102,201.5,200.5,327,133
103,201.5,200.5,328,133
104,200.5,200.5,329,133
105,200.5,201.5,329,132
106,200.5,201.5,329,132
107,200.5,200.5,329,133
108,200.5,200.5,329,133
109,202.5,200.5,327,133
110,202.5,200.5,327,133
111,201.5,200.5,328,133
112,202.5,200.5,288,132
113,203.5,199.5,283,133
114,204.5,198.5,278,134
115,204.5,195.5,278,137
116,202.5,199.5,283,133
117,202.5,199.5,327,133
118,204.5,197.5,279,135
119,206.5,194.5,275,138
120,207.5,194.5,274,138
121,207.5,194.5,274,138
122,207.5,195.5,274,137
123,205.5,196.5,276,136
124,204.5,198.5,276,134
125,204.5,198.5,283,134
126,204.5,197.5,325,135
127,204.5,197.5,282,135
128,204.5,197.5,272,135
129,206.5,197.5,272,135
130,205.5,196.5,273,136
131,206.5,197.5,272,135
132,206.5,197.5,274,135
133,205.5,196.5,273,136
134,205.5,197.5,273,135
135,205.5,196.5,273,136
136,205.5,196.5,273,136
137,205.5,196.5,273,136
138,206.5,196.5,266,136
139,206.5,196.5,263,136
140,207.5,196.5,257,136
141,216.5,194.5,247,138
142,212.5,195.5,252,137
143,213.5,195.5,253,137
144,212.5,196.5,251,136
145,211.5,196.5,251,136
146,211.5,196.5,252,136
147,210.5,196.5,253,136
148,210.5,196.5,253,136
149,210.5,196.5,253,136
150,210.5,196.5,253,136
151,210.5,196.5,253,136
152,210.5,196.5,253,136
153,209.5,196.5,253,136
154,210.5,196.5,251,136
155,210.5,196.5,251,136
156,210.5,196.5,251,136
157,210.5,195.5,251,137
158,209.5,196.5,252,136
159,209.5,195.5,252,137
160,209.5,195.5,252,137
161,209.5,195.5,251,137
162,209.5,195.5,251,137
163,209.5,194.5,251,138
164,209.5,194.5,252,138
165,210.5,194.5,249,138
166,210.5,195.5,247,137
167,210.5,195.5,250,137
168,210.5,195.5,250,137
169,211.5,196.5,249,136
170,211.5,196.5,248,136
171,211.5,196.5,249,136
172,210.5,196.5,251,136
173,211.5,197.5,251,136
174,212.5,198.5,249,135
175,212.5,196.5,246,136
176,216.5,192.5,238,136
177,216.5,192.5,239,136
178,216.5,196.5,236,132
179,218.5,198.5,232,130
180,219.5,198.5,231,130
181,219.5,198.5,231,130
182,218.5,197.5,232,131
183,218.5,197.5,233,131
184,218.5,197.5,233,131
185,218.5,197.5,233,131
186,218.5,197.5,233,131
187,218.5,197.5,233,131
188,219.5,197.5,232,131
189,218.5,198.5,233,130
190,220.5,198.5,238,130
191,223.5,197.5,227,131
192,230.5,187.5,217,141
193,232.5,159.5,215,169
194,232.5,161.5,215,167
195,229.5,172.5,219,156
196,229.5,178.5,219,150
197,228.5,179.5,220,149
198,228.5,179.5,220,149
199,228.5,180.5,220,148
200,227.5,181.5,221,147
201,227.5,181.5,220,147
202,228.5,181.5,218,147
203,226.5,189.5,224,139
204,226.5,193.5,224,135
205,226.5,195.5,222,133
206,225.5,190.5,227,138
207,225.5,191.5,227,137
208,224.5,192.5,228,136
209,224.5,191.5,229,137
210,226.5,189.5,223,139
211,227.5,187.5,227,141
212,228.5,191.5,233,137
213,227.5,195.5,231,133
214,227.5,194.5,234,134
215,227.5,190.5,237,138
216,227.5,193.5,237,135
217,225.5,194.5,239,134
218,225.5,194.5,238,134
219,225.5,194.5,239,134
220,224.5,193.5,240,135
221,224.5,192.5,240,136
222,224.5,191.5,240,137
223,224.5,192.5,240,136
224,224.5,192.5,240,136
225,224.5,192.5,241,136
226,225.5,192.5,240,136
227,223.5,192.5,243,136
228,224.5,193.5,240,135
229,224.5,193.5,241,135
230,224.5,193.5,241,135
231,224.5,193.5,241,135
232,224.5,194.5,241,134
233,224.5,194.5,241,134
234,224.5,194.5,239,134
235,224.5,195.5,235,133
236,226.5,197.5,228,131
237,227.5,197.5,220,131
238,241.5,195.5,198,133
239,248.5,170.5,190,158
240,249.5,166.5,189,162
241,248.5,168.5,189,160
242,245.5,172.5,193,156
243,243.5,178.5,198,150
244,241.5,179.5,200,149
245,241.5,177.5,199,151
246,241.5,175.5,200,153
247,242.5,175.5,199,153
248,241.5,177.5,199,151
249,241.5,177.5,201,151
250,238.5,183.5,206,150
251,237.5,184.5,206,149
252,239.5,181.5,205,152
253,240.5,180.5,204,148
254,239.5,181.5,207,147
255,237.5,182.5,208,146
256,237.5,182.5,209,146
257,238.5,182.5,208,146
258,238.5,181.5,207,147
259,238.5,182.5,209,146
260,238.5,183.5,209,145
261,238.5,183.5,209,145
