frames,x1,y1,w,h
1,132.5,165.5,107,82
2,132.5,165.5,107,82
3,132.5,165.5,107,84
4,132.5,166.5,108,85
5,131.5,163.5,111,88
6,131.5,166.5,113,80
7,132.5,155.5,113,77
8,131.5,135.5,115,74
9,134.5,115.5,115,70
10,137.5,101.5,113,77
11,139.5,93.5,113,85
12,142.5,89.5,113,89
13,146.5,88.5,113,90
14,148.5,89.5,115,89
15,153.5,93.5,115,86
16,155.5,101.5,118,77
17,162.5,114.5,115,73
18,164.5,133.5,118,81
19,167.5,153.5,116,82
20,171.5,166.5,114,82
21,174.5,166.5,110,87
22,177.5,165.5,106,87
23,179.5,166.5,104,83
24,180.5,166.5,104,81
25,182.5,166.5,103,83
26,183.5,166.5,105,86
27,183.5,166.5,109,89
28,184.5,166.5,113,85
29,182.5,151.5,119,88
30,182.5,129.5,123,90
31,182.5,111.5,126,82
32,182.5,97.5,120,81
33,183.5,89.5,126,84
34,184.5,83.5,125,89
35,184.5,81.5,125,89
36,184.5,80.5,126,88
37,184.5,80.5,127,86
38,185.5,84.5,108,79
39,185.5,94.5,130,84
40,186.5,108.5,127,91
41,186.5,126.5,122,89
42,189.5,138.5,113,84
43,187.5,136.5,110,86
44,188.5,132.5,105,85
45,189.5,129.5,102,82
46,189.5,126.5,101,80
47,190.5,123.5,101,82
48,190.5,119.5,105,85
49,190.5,117.5,111,86
50,193.5,110.5,116,85
51,191.5,99.5,126,82
52,192.5,75.5,133,82
53,194.5,55.5,134,74
54,195.5,40.5,134,75
55,196.5,30.5,133,84
56,197.5,25.5,131,87
57,198.5,23.5,129,88
58,198.5,23.5,131,86
59,197.5,27.5,134,82
60,196.5,35.5,137,73
61,195.5,51.5,138,58
62,194.5,73.5,137,61
63,197.5,95.5,128,63
64,195.5,97.5,124,77
65,197.5,99.5,116,85
66,201.5,101.5,108,88
67,203.5,105.5,103,86
68,206.5,108.5,101,85
69,208.5,111.5,102,85
70,211.5,114.5,105,85
71,213.5,117.5,111,82
72,217.5,121.5,116,69
73,220.5,124.5,121,50
74,225.5,116.5,120,35
75,228.5,109.5,118,34
76,233.5,97.5,114,50
77,236.5,90.5,109,60
78,238.5,85.5,107,68
79,240.5,84.5,105,71
80,242.5,87.5,103,70
81,242.5,95.5,102,64
82,242.5,106.5,100,53
83,240.5,123.5,104,37
84,241.5,146.5,101,14
85,238.5,147.5,107,34
86,237.5,147.5,110,51
87,236.5,145.5,109,66
88,235.5,142.5,104,74
89,233.5,139.5,102,78
90,230.5,136.5,101,78
91,226.5,133.5,101,76
92,220.5,128.5,106,73
93,212.5,124.5,114,67
94,204.5,119.5,121,57
95,196.5,105.5,125,52
96,189.5,73.5,128,66
97,186.5,47.5,123,76
98,184.5,29.5,115,89
99,182.5,18.5,110,96
100,179.5,13.5,105,98
101,176.5,9.5,103,98
102,172.5,6.5,105,99
103,167.5,4.5,109,98
104,162.5,5.5,113,95
105,158.5,13.5,119,94
106,158.5,28.5,121,93
107,157.5,50.5,125,84
108,159.5,71.5,118,73
109,162.5,82.5,111,69
110,162.5,81.5,107,72
111,162.5,82.5,103,71
112,160.5,83.5,102,69
113,157.5,83.5,104,71
114,154.5,83.5,105,73
115,147.5,81.5,109,74
116,146.5,74.5,107,76
117,141.5,55.5,108,84
118,139.5,34.5,104,89
119,132.5,19.5,105,86
120,134.5,12.5,95,82
121,133.5,10.5,96,84
122,131.5,10.5,94,84
123,129.5,11.5,94,83
124,127.5,11.5,94,83
125,124.5,13.5,96,81
126,122.5,18.5,98,76
127,119.5,31.5,102,68
128,115.5,51.5,106,65
129,118.5,77.5,103,56
130,117.5,83.5,104,63
