frames,x1,y1,w,h
1,261.5,118.5,161,155
2,261.5,118.5,161,155
3,260.5,119.5,161,161
4,259.5,119.5,161,162
5,258.5,120.5,152,161
6,258.5,121.5,151,160
7,257.5,121.5,164,161
8,257.5,122.5,147,169
9,256.5,123.5,148,166
10,256.5,124.5,147,166
11,255.5,124.5,148,167
12,254.5,125.5,148,165
13,254.5,126.5,147,157
14,253.5,127.5,146,156
15,252.5,128.5,147,147
16,252.5,129.5,146,140
17,251.5,130.5,149,142
18,250.5,128.5,150,137
19,249.5,128.5,151,120
20,248.5,127.5,150,121
21,247.5,127.5,150,150
22,246.5,128.5,149,148
23,245.5,127.5,149,149
24,243.5,126.5,149,150
25,242.5,125.5,148,160
26,243.5,126.5,146,166
27,243.5,125.5,144,165
28,242.5,125.5,144,130
29,239.5,125.5,144,138
30,239.5,125.5,145,150
31,234.5,125.5,147,148
32,233.5,125.5,148,163
33,232.5,126.5,148,135
34,231.5,126.5,152,143
35,231.5,126.5,151,145
36,232.5,126.5,150,144
37,231.5,126.5,152,145
38,231.5,127.5,146,131
39,231.5,127.5,145,132
40,230.5,127.5,145,132
41,227.5,128.5,148,155
42,225.5,127.5,149,159
43,225.5,124.5,149,131
44,224.5,124.5,149,155
45,224.5,123.5,147,116
46,223.5,123.5,148,125
47,223.5,123.5,147,153
48,222.5,122.5,148,150
49,222.5,121.5,148,128
50,222.5,121.5,147,123
51,221.5,121.5,148,118
52,220.5,121.5,148,121
53,221.5,120.5,145,122
54,221.5,120.5,146,128
55,220.5,120.5,146,154
56,219.5,119.5,147,157
57,221.5,120.5,144,129
58,219.5,119.5,146,131
59,219.5,119.5,145,131
60,218.5,119.5,146,190
61,218.5,119.5,145,194
62,217.5,119.5,147,191
63,217.5,119.5,147,186
64,215.5,119.5,149,193
65,215.5,119.5,148,194
66,214.5,119.5,149,187
67,213.5,119.5,150,181
68,213.5,120.5,147,189
69,212.5,120.5,148,187
70,211.5,120.5,152,186
71,211.5,120.5,148,192
72,210.5,121.5,150,193
73,208.5,121.5,151,192
74,209.5,120.5,150,193
75,208.5,121.5,143,190
76,206.5,122.5,145,170
77,206.5,123.5,143,187
78,206.5,122.5,144,188
79,205.5,122.5,143,187
80,204.5,123.5,158,185
81,205.5,128.5,156,186
82,205.5,128.5,155,186
83,205.5,127.5,154,187
84,205.5,128.5,154,180
85,205.5,127.5,153,181
86,205.5,127.5,153,181
87,200.5,127.5,157,180
88,199.5,127.5,145,180
89,199.5,127.5,154,180
90,199.5,122.5,153,193
91,201.5,127.5,150,172
92,203.5,126.5,146,189
93,203.5,126.5,145,189
94,203.5,125.5,144,185
95,201.5,125.5,144,183
96,202.5,124.5,142,173
97,202.5,124.5,141,146
98,200.5,121.5,143,177
99,201.5,120.5,142,178
100,199.5,119.5,141,167
101,200.5,118.5,139,169
102,198.5,117.5,140,185
103,198.5,118.5,140,185
104,196.5,117.5,141,187
105,196.5,117.5,139,182
106,197.5,116.5,138,178
107,196.5,116.5,139,168
108,196.5,116.5,139,185
109,195.5,115.5,138,185
110,195.5,115.5,138,186
111,193.5,114.5,140,202
112,192.5,113.5,141,203
113,193.5,113.5,139,201
114,193.5,114.5,139,145
115,192.5,112.5,140,148
116,191.5,112.5,141,148
117,190.5,113.5,142,147
118,189.5,112.5,141,145
119,188.5,111.5,144,199
120,187.5,113.5,145,146
121,186.5,113.5,145,146
122,185.5,113.5,146,145
123,185.5,113.5,145,146
124,183.5,113.5,147,203
125,183.5,113.5,148,151
126,181.5,112.5,151,204
127,180.5,112.5,146,141
128,179.5,113.5,147,145
129,178.5,113.5,147,145
130,177.5,113.5,147,146
131,176.5,113.5,147,146
132,175.5,114.5,147,146
133,174.5,115.5,147,150
134,173.5,114.5,149,152
135,172.5,115.5,149,151
136,171.5,115.5,153,157
137,170.5,116.5,153,156
138,169.5,116.5,154,156
139,167.5,118.5,155,153
140,166.5,116.5,156,155
141,165.5,120.5,156,150
142,164.5,118.5,157,198
143,163.5,119.5,155,153
144,163.5,121.5,154,197
145,162.5,122.5,153,197
146,161.5,121.5,153,198
147,160.5,123.5,152,187
148,159.5,121.5,152,186
149,158.5,124.5,151,185
150,157.5,123.5,151,186
151,155.5,126.5,151,174
152,155.5,125.5,148,193
153,154.5,126.5,150,192
154,153.5,126.5,150,158
155,152.5,126.5,148,145
156,151.5,126.5,149,174
157,150.5,126.5,148,147
158,149.5,126.5,152,193
159,147.5,126.5,154,193
160,148.5,127.5,153,192
161,146.5,127.5,150,149
162,145.5,126.5,150,151
163,144.5,127.5,151,142
164,143.5,126.5,159,181
165,141.5,127.5,162,179
166,141.5,125.5,162,181
167,139.5,125.5,165,182
168,138.5,125.5,167,183
169,133.5,124.5,159,168
170,135.5,124.5,156,168
171,134.5,124.5,156,132
172,133.5,124.5,157,146
173,132.5,124.5,157,132
174,131.5,124.5,158,131
175,130.5,123.5,158,139
176,128.5,123.5,159,139
177,128.5,123.5,159,130
178,127.5,123.5,159,128
179,126.5,123.5,160,138
180,122.5,123.5,163,135
181,124.5,123.5,160,129
182,123.5,123.5,161,138
183,121.5,123.5,163,126
184,120.5,123.5,163,147
185,119.5,123.5,163,191
186,117.5,124.5,165,196
187,116.5,124.5,164,204
188,115.5,124.5,165,198
189,114.5,124.5,165,204
190,113.5,123.5,165,203
191,111.5,125.5,167,202
192,110.5,126.5,167,203
193,109.5,126.5,167,188
194,108.5,127.5,168,179
195,106.5,127.5,169,191
196,105.5,128.5,170,205
197,103.5,129.5,170,190
198,101.5,130.5,172,171
199,100.5,131.5,173,170
200,99.5,131.5,174,168
201,97.5,137.5,175,143
202,95.5,136.5,175,165
203,97.5,137.5,173,165
204,95.5,138.5,174,164
205,93.5,143.5,175,161
206,90.5,140.5,185,178
207,88.5,138.5,179,162
208,86.5,138.5,180,169
209,85.5,139.5,180,171
210,83.5,140.5,183,169
211,83.5,144.5,183,138
212,82.5,144.5,184,139
213,81.5,143.5,183,140
214,79.5,144.5,186,140
215,78.5,144.5,187,140
216,77.5,144.5,187,140
217,75.5,145.5,185,139
218,74.5,145.5,188,164
219,73.5,145.5,186,139
220,72.5,145.5,186,138
221,67.5,145.5,190,138
222,67.5,145.5,190,137
223,67.5,145.5,190,136
224,67.5,145.5,185,136
225,66.5,145.5,185,134
226,64.5,145.5,186,145
227,64.5,145.5,185,165
228,63.5,144.5,216,184
229,61.5,144.5,187,165
230,60.5,143.5,187,183
