frames,x1,y1,w,h
1,457.5,170.5,594,290
2,457.5,170.5,594,290
3,456.5,170.5,594,290
4,455.5,170.5,594,290
5,454.5,170.5,594,290
6,453.5,170.5,594,290
7,452.5,170.5,594,290
8,451.5,171.5,593,289
9,450.5,171.5,594,289
10,450.5,171.5,593,289
11,449.5,172.5,593,288
12,448.5,173.5,593,287
13,447.5,173.5,593,287
14,446.5,173.5,593,287
15,446.5,172.5,592,288
16,444.5,172.5,593,288
17,443.5,172.5,593,288
18,442.5,172.5,593,288
19,441.5,172.5,593,288
20,440.5,172.5,593,288
21,440.5,172.5,592,288
22,439.5,172.5,592,288
23,438.5,172.5,592,288
24,437.5,172.5,592,288
25,436.5,172.5,592,288
26,435.5,172.5,592,288
27,435.5,172.5,591,288
28,434.5,173.5,591,287
29,434.5,173.5,590,287
30,434.5,173.5,589,287
31,433.5,173.5,589,287
32,432.5,173.5,589,287
33,432.5,174.5,587,286
34,431.5,174.5,587,286
35,431.5,175.5,587,285
36,431.5,175.5,586,285
37,430.5,175.5,586,285
38,430.5,175.5,585,285
39,430.5,176.5,584,284
40,430.5,176.5,584,284
41,429.5,176.5,584,284
42,429.5,176.5,583,284
43,429.5,176.5,582,284
44,428.5,176.5,582,284
45,428.5,176.5,581,284
46,427.5,177.5,581,283
47,426.5,177.5,581,283
48,425.5,178.5,581,282
49,424.5,178.5,580,282
50,424.5,178.5,579,282
51,423.5,178.5,580,282
52,423.5,178.5,579,282
53,423.5,178.5,578,282
54,422.5,178.5,578,282
55,422.5,178.5,577,282
56,422.5,179.5,576,281
57,421.5,179.5,577,281
58,421.5,180.5,576,280
59,420.5,180.5,576,280
60,419.5,181.5,575,279
61,418.5,181.5,576,279
62,418.5,182.5,575,278
63,417.5,182.5,575,278
64,416.5,182.5,574,278
65,414.5,182.5,575,278
66,413.5,182.5,575,278
67,412.5,182.5,575,278
68,411.5,183.5,575,277
69,410.5,183.5,575,277
70,410.5,183.5,573,277
71,409.5,184.5,574,276
72,408.5,184.5,574,276
73,407.5,184.5,574,276
74,407.5,185.5,573,275
75,406.5,185.5,573,275
76,405.5,185.5,573,275
77,405.5,185.5,572,275
78,404.5,185.5,572,275
79,403.5,186.5,571,274
80,403.5,186.5,570,274
81,402.5,186.5,571,274
82,402.5,186.5,570,274
83,401.5,186.5,570,274
84,400.5,186.5,570,274
85,400.5,185.5,568,275
86,400.5,185.5,567,275
87,399.5,185.5,567,275
88,399.5,186.5,566,274
89,399.5,186.5,565,274
90,398.5,187.5,565,273
91,398.5,187.5,564,273
92,397.5,188.5,563,272
93,397.5,189.5,563,271
94,396.5,190.5,562,270
95,396.5,191.5,561,269
96,395.5,192.5,561,268
97,394.5,192.5,561,268
98,394.5,193.5,560,267
99,393.5,194.5,559,266
100,392.5,194.5,559,266
101,391.5,195.5,558,265
102,391.5,195.5,557,265
103,390.5,196.5,557,264
104,390.5,197.5,556,263
105,388.5,197.5,556,263
106,387.5,197.5,556,263
107,386.5,198.5,555,262
108,385.5,198.5,555,262
109,384.5,199.5,555,261
110,382.5,199.5,555,261
111,381.5,200.5,554,260
112,380.5,200.5,554,260
113,378.5,201.5,554,259
114,377.5,201.5,554,259
115,376.5,202.5,553,258
116,375.5,203.5,553,257
117,374.5,203.5,552,257
118,372.5,203.5,552,257
119,370.5,203.5,552,257
120,368.5,203.5,552,257
121,367.5,203.5,551,257
122,365.5,203.5,551,257
123,363.5,204.5,551,256
