frames,x1,y1,w,h
1,84.5,243.5,194,99
2,83.5,243.5,196,100
3,83.5,243.5,197,101
4,83.5,243.5,197,102
5,81.5,243.5,200,103
6,81.5,243.5,200,105
7,81.5,242.5,201,107
8,81.5,241.5,202,108
9,81.5,240.5,203,111
10,82.5,238.5,202,115
11,83.5,237.5,202,117
12,85.5,236.5,201,119
13,85.5,233.5,201,123
14,85.5,231.5,202,128
15,87.5,229.5,201,128
16,87.5,227.5,201,131
17,87.5,224.5,201,134
18,87.5,222.5,200,135
19,87.5,219.5,199,139
20,87.5,217.5,198,141
21,87.5,214.5,195,144
22,88.5,212.5,192,146
23,91.5,213.5,187,145
24,96.5,220.5,180,137
25,101.5,219.5,173,139
26,104.5,218.5,168,140
27,105.5,217.5,164,141
28,105.5,219.5,159,141
29,105.5,228.5,156,132
30,103.5,230.5,155,131
31,103.5,230.5,154,131
32,103.5,230.5,155,131
33,102.5,231.5,158,129
34,102.5,232.5,159,127
35,103.5,232.5,160,126
36,104.5,232.5,161,126
37,104.5,233.5,164,124
38,105.5,233.5,165,123
39,105.5,232.5,166,124
40,106.5,232.5,168,124
41,106.5,233.5,170,123
42,107.5,233.5,172,122
43,107.5,235.5,174,120
44,108.5,236.5,175,120
45,108.5,239.5,176,117
46,108.5,240.5,177,117
47,108.5,242.5,178,116
48,108.5,241.5,179,118
49,107.5,242.5,181,118
50,106.5,243.5,182,118
51,105.5,246.5,183,116
52,105.5,247.5,183,116
53,104.5,248.5,184,115
54,102.5,249.5,185,115
55,102.5,250.5,185,114
56,102.5,250.5,185,114
57,101.5,251.5,185,113
58,100.5,250.5,186,114
59,99.5,251.5,187,113
60,99.5,250.5,188,115
61,98.5,249.5,189,116
62,98.5,247.5,190,118
63,98.5,246.5,189,119
64,98.5,244.5,189,121
65,98.5,242.5,190,123
66,98.5,241.5,190,125
67,98.5,239.5,190,127
68,98.5,238.5,191,129
69,98.5,236.5,191,131
70,98.5,235.5,192,133
71,98.5,233.5,192,135
72,98.5,232.5,194,136
73,99.5,245.5,191,124
74,100.5,247.5,188,122
75,101.5,247.5,187,122
76,104.5,248.5,179,121
77,107.5,252.5,169,118
78,108.5,253.5,167,117
79,112.5,251.5,160,120
80,113.5,253.5,158,118
81,117.5,253.5,150,118
82,120.5,252.5,144,120
83,120.5,254.5,142,118
84,120.5,257.5,139,115
85,119.5,257.5,141,115
86,119.5,257.5,142,116
87,118.5,260.5,144,113
88,118.5,262.5,145,110
89,117.5,263.5,147,110
90,116.5,264.5,149,108
91,116.5,265.5,151,107
92,115.5,266.5,153,106
93,115.5,268.5,154,104
94,114.5,269.5,155,103
95,113.5,270.5,158,102
96,114.5,271.5,159,101
97,113.5,272.5,161,100
98,113.5,272.5,161,99
99,113.5,273.5,162,97
100,113.5,273.5,162,96
101,112.5,273.5,165,95
102,112.5,273.5,165,94
103,112.5,272.5,166,95
104,112.5,271.5,167,95
105,111.5,270.5,169,96
106,111.5,269.5,170,96
107,111.5,268.5,171,96
108,111.5,268.5,172,95
109,111.5,267.5,173,96
110,111.5,266.5,173,96
111,111.5,265.5,174,96
112,111.5,264.5,174,96
113,110.5,263.5,176,97
114,110.5,262.5,176,97
115,109.5,261.5,178,98
116,109.5,261.5,179,98
117,108.5,260.5,181,99
118,108.5,259.5,182,100
119,107.5,258.5,184,102
120,106.5,258.5,185,102
121,106.5,257.5,186,104
122,106.5,256.5,187,105
123,106.5,256.5,187,106
124,106.5,253.5,187,109
125,105.5,251.5,189,112
126,105.5,250.5,189,113
127,106.5,254.5,189,110
128,106.5,253.5,189,111
129,105.5,260.5,190,104
130,106.5,260.5,189,105
131,106.5,262.5,189,103
132,106.5,262.5,186,104
133,106.5,263.5,182,104
134,106.5,261.5,180,106
135,109.5,261.5,175,106
136,112.5,266.5,170,101
137,114.5,265.5,167,102
138,116.5,266.5,160,101
139,118.5,266.5,156,101
140,119.5,265.5,150,102
141,120.5,265.5,145,101
142,122.5,265.5,140,101
143,123.5,265.5,137,100
144,122.5,265.5,138,100
145,121.5,266.5,136,99
146,120.5,266.5,136,98
147,118.5,268.5,138,96
148,117.5,269.5,139,94
149,116.5,270.5,140,93
150,115.5,270.5,142,92
151,114.5,271.5,143,91
152,114.5,272.5,144,89
153,113.5,273.5,146,87
154,112.5,275.5,148,84
155,111.5,277.5,150,81
156,111.5,279.5,151,78
157,110.5,279.5,153,78
158,110.5,280.5,154,76
159,109.5,283.5,156,72
160,109.5,285.5,157,69
161,109.5,285.5,158,67
162,109.5,285.5,160,66
163,109.5,282.5,161,67
164,109.5,281.5,163,67
165,108.5,280.5,164,66
166,107.5,280.5,166,64
167,107.5,277.5,167,65
168,107.5,281.5,167,60
169,107.5,280.5,168,60
