frames,x1,y1,w,h
1,570.5,345.5,675,406
2,570.5,347.5,677,406
3,570.5,349.5,672,405
4,570.5,351.5,683,405
5,570.5,354.5,691,402
6,570.5,356.5,697,400
7,570.5,356.5,700,400
8,570.5,357.5,701,391
9,570.5,358.5,694,397
10,570.5,358.5,690,398
11,570.5,358.5,686,398
12,570.5,358.5,680,398
13,570.5,358.5,674,398
14,570.5,358.5,671,398
15,570.5,358.5,668,398
16,570.5,358.5,661,398
17,571.5,359.5,661,397
18,570.5,359.5,661,397
19,570.5,360.5,662,396
20,570.5,361.5,665,395
21,570.5,362.5,664,394
22,570.5,362.5,674,394
23,570.5,362.5,689,394
24,570.5,363.5,706,393
25,570.5,363.5,721,393
26,570.5,364.5,737,392
27,570.5,364.5,755,392
28,572.5,365.5,769,391
29,570.5,365.5,787,391
30,584.5,365.5,792,391
31,594.5,364.5,798,392
32,593.5,366.5,641,390
33,591.5,365.5,647,391
34,594.5,365.5,657,391
35,594.5,365.5,670,391
36,593.5,365.5,683,391
37,595.5,364.5,702,392
38,570.5,364.5,739,392
39,580.5,363.5,729,393
40,592.5,362.5,666,394
41,570.5,362.5,691,394
42,570.5,362.5,702,394
43,602.5,361.5,684,395
44,618.5,361.5,684,395
45,586.5,361.5,732,395
46,603.5,360.5,730,396
47,616.5,361.5,736,395
48,627.5,359.5,706,397
49,641.5,359.5,715,397
50,597.5,358.5,773,398
51,601.5,407.5,783,349
52,660.5,405.5,738,351
53,659.5,404.5,743,352
54,661.5,403.5,768,353
55,657.5,404.5,770,352
56,641.5,404.5,788,352
57,570.5,275.5,859,481
58,570.5,275.5,859,481
59,654.5,409.5,775,347
60,672.5,412.5,757,344
61,542.5,277.5,887,479
62,557.5,277.5,872,479
63,572.5,278.5,857,478
64,614.5,411.5,815,345
65,617.5,409.5,812,347
66,618.5,408.5,811,348
67,622.5,406.5,807,350
68,627.5,283.5,802,473
69,660.5,282.5,649,474
70,709.5,380.5,616,376
71,644.5,380.5,785,376
72,649.5,284.5,714,472
73,686.5,284.5,697,472
74,671.5,284.5,758,472
75,664.5,285.5,765,471
76,694.5,286.5,732,470
77,710.5,286.5,576,470
78,728.5,287.5,558,434
79,665.5,287.5,623,469
80,671.5,287.5,619,469
81,676.5,287.5,619,433
82,681.5,287.5,615,469
83,687.5,287.5,617,469
84,737.5,287.5,568,469
85,743.5,287.5,577,469
86,770.5,288.5,571,468
87,696.5,287.5,656,469
88,704.5,287.5,645,437
89,713.5,288.5,644,436
90,714.5,288.5,676,468
91,714.5,289.5,688,467
92,709.5,288.5,684,427
93,715.5,289.5,691,426
94,716.5,288.5,643,417
95,716.5,288.5,713,427
96,770.5,289.5,580,413
97,783.5,287.5,562,413
98,782.5,287.5,559,407
99,782.5,287.5,558,409
100,712.5,287.5,630,407
101,713.5,287.5,630,407
102,704.5,287.5,644,408
103,713.5,287.5,645,408
104,714.5,287.5,657,411
105,784.5,287.5,599,409
106,783.5,287.5,610,413
107,781.5,287.5,622,416
108,704.5,388.5,658,324
109,753.5,389.5,605,323
110,733.5,390.5,617,322
111,733.5,391.5,609,324
112,745.5,393.5,588,318
113,756.5,395.5,567,302
114,755.5,387.5,558,306
115,679.5,387.5,626,309
116,711.5,384.5,583,315
117,674.5,381.5,620,318
118,742.5,380.5,543,304
119,743.5,379.5,542,305
120,743.5,378.5,543,306
121,742.5,374.5,548,311
122,740.5,371.5,553,315
123,738.5,373.5,560,314
124,687.5,370.5,615,317
125,689.5,373.5,613,313
126,660.5,377.5,638,301
127,676.5,382.5,616,307
128,654.5,385.5,630,295
129,652.5,389.5,623,292
130,649.5,389.5,618,278
131,708.5,394.5,551,273
132,705.5,390.5,545,276
133,702.5,387.5,544,276
134,640.5,383.5,604,284
135,640.5,380.5,603,288
136,640.5,377.5,606,293
137,640.5,377.5,609,292
138,640.5,377.5,613,299
139,640.5,377.5,600,300
140,640.5,376.5,602,301
141,640.5,377.5,599,299
142,640.5,378.5,597,297
143,640.5,379.5,605,295
144,640.5,380.5,603,291
145,640.5,381.5,596,287
146,640.5,377.5,593,287
147,640.5,356.5,589,297
148,640.5,367.5,585,280
149,640.5,363.5,586,297
150,640.5,358.5,585,302
151,640.5,350.5,582,311
152,699.5,347.5,527,314
153,702.5,347.5,527,314
154,644.5,327.5,589,334
155,643.5,327.5,595,304
156,640.5,331.5,604,304
157,678.5,331.5,570,327
158,660.5,322.5,588,337
159,640.5,322.5,606,304
160,640.5,333.5,602,329
161,640.5,333.5,599,294
162,640.5,342.5,596,285
163,640.5,199.5,593,437
164,640.5,190.5,590,444
165,640.5,191.5,586,436
166,640.5,190.5,584,445
167,640.5,192.5,583,444
168,640.5,192.5,584,444
169,640.5,192.5,585,444
170,640.5,189.5,588,447
171,640.5,190.5,592,446
172,640.5,324.5,597,312
173,640.5,324.5,599,312
174,640.5,323.5,604,313
175,640.5,323.5,607,313
176,640.5,190.5,606,446
177,640.5,190.5,611,446
178,640.5,187.5,608,449
179,645.5,189.5,601,447
180,671.5,190.5,579,446
181,684.5,190.5,568,446
182,698.5,190.5,556,446
183,720.5,190.5,536,446
184,727.5,191.5,533,445
185,746.5,191.5,520,445
186,760.5,194.5,509,442
187,772.5,194.5,499,442
188,774.5,194.5,498,442
189,776.5,196.5,500,440
190,768.5,195.5,513,441
191,716.5,197.5,568,439
192,695.5,203.5,608,433
193,671.5,204.5,617,432
194,710.5,202.5,582,434
195,719.5,202.5,577,434
196,752.5,203.5,548,433
197,766.5,203.5,528,433
198,778.5,204.5,517,432
199,785.5,204.5,512,432
200,719.5,205.5,580,431
201,724.5,205.5,579,431
202,725.5,206.5,581,430
203,728.5,207.5,582,429
204,733.5,207.5,587,429
205,731.5,208.5,604,428
206,740.5,212.5,603,424
207,744.5,212.5,613,424
208,741.5,212.5,631,424
209,751.5,212.5,634,424
210,755.5,210.5,643,426
211,760.5,211.5,652,425
212,729.5,212.5,700,424
213,743.5,213.5,686,423
214,754.5,213.5,675,423
215,768.5,219.5,661,417
216,783.5,216.5,646,420
217,792.5,219.5,637,417
218,798.5,219.5,631,417
219,803.5,220.5,626,416
220,800.5,219.5,629,417
221,813.5,296.5,616,340
222,886.5,305.5,543,331
223,828.5,306.5,601,330
224,834.5,310.5,595,326
225,896.5,308.5,533,328
226,861.5,311.5,568,325
227,873.5,313.5,556,323
228,857.5,303.5,545,315
229,818.5,304.5,611,303
230,688.5,304.5,741,332
231,703.5,314.5,726,322
232,714.5,307.5,687,329
233,726.5,308.5,675,328
234,740.5,308.5,660,328
235,752.5,309.5,648,327
236,763.5,309.5,637,327
237,785.5,310.5,619,326
238,788.5,312.5,617,324
239,798.5,313.5,609,323
240,808.5,314.5,600,322
241,818.5,313.5,592,323
242,827.5,311.5,586,325
243,839.5,311.5,574,325
244,856.5,310.5,556,326
245,861.5,310.5,548,326
246,861.5,311.5,543,325
247,868.5,315.5,532,321
248,869.5,316.5,531,320
249,868.5,316.5,529,320
250,846.5,318.5,551,318
251,856.5,320.5,541,316
252,866.5,323.5,539,313
253,874.5,324.5,525,312
254,876.5,323.5,520,313
255,879.5,321.5,519,315
256,881.5,323.5,526,313
257,883.5,323.5,512,313
258,884.5,324.5,512,312
259,885.5,324.5,510,312
260,888.5,325.5,511,311
261,889.5,326.5,514,310
262,890.5,288.5,523,348
263,891.5,328.5,521,308
264,895.5,329.5,518,307
265,897.5,293.5,516,343
266,888.5,332.5,525,304
267,900.5,295.5,514,341
268,878.5,296.5,538,340
269,888.5,298.5,529,338
270,901.5,340.5,516,296
271,855.5,339.5,560,297
272,865.5,340.5,551,296
273,873.5,342.5,546,294
274,881.5,340.5,537,296
275,888.5,341.5,533,295
276,897.5,342.5,525,294
277,906.5,341.5,519,295
278,914.5,316.5,515,320
279,920.5,318.5,511,318
280,924.5,327.5,509,309
281,932.5,329.5,504,307
282,941.5,330.5,507,306
283,943.5,336.5,498,300
284,952.5,334.5,491,302
285,961.5,331.5,488,305
286,970.5,331.5,504,305
287,935.5,327.5,557,309
288,946.5,326.5,481,310
289,954.5,328.5,475,308
290,963.5,326.5,475,310
291,973.5,323.5,475,313
292,1025.5,321.5,433,315
293,992.5,316.5,554,320
294,999.5,314.5,557,322
295,1045.5,315.5,520,321
296,1047.5,306.5,525,330
297,1055.5,303.5,524,333
298,1062.5,303.5,523,333
299,1051.5,303.5,539,333
300,1058.5,302.5,537,334
301,1062.5,302.5,537,334
302,1067.5,301.5,538,335
303,1074.5,301.5,537,335
304,1079.5,301.5,537,335
305,1084.5,302.5,537,334
306,1088.5,302.5,537,334
307,1092.5,302.5,537,334
308,1096.5,302.5,535,334
309,1099.5,302.5,538,334
310,1102.5,302.5,536,334
311,1085.5,302.5,563,334
312,1110.5,302.5,549,334
313,1094.5,303.5,562,333
314,1100.5,303.5,560,333
315,1103.5,303.5,394,333
316,1124.5,304.5,375,332
317,1126.5,304.5,375,332
318,1128.5,304.5,375,332
319,1111.5,304.5,395,332
320,1133.5,304.5,375,332
321,1113.5,304.5,398,332
322,1115.5,304.5,398,332
323,1140.5,304.5,376,332
324,1137.5,304.5,382,332
325,1140.5,304.5,381,332
326,1143.5,303.5,381,333
327,1146.5,303.5,379,333
328,1147.5,302.5,540,334
329,1149.5,302.5,541,334
330,1151.5,301.5,539,335
331,1137.5,301.5,559,335
332,1160.5,300.5,538,336
333,1162.5,299.5,536,337
334,1164.5,299.5,373,337
335,1164.5,298.5,375,338
336,1167.5,298.5,374,338
337,1162.5,296.5,543,340
338,1165.5,297.5,543,339
339,1165.5,297.5,487,339
340,1167.5,297.5,543,339
341,1178.5,296.5,535,340
342,1172.5,295.5,544,341
343,1181.5,294.5,535,342
344,1183.5,293.5,372,343
345,1173.5,293.5,548,343
346,1168.5,292.5,555,344
347,1181.5,291.5,544,345
348,1184.5,291.5,543,345
349,1190.5,290.5,540,346
350,1176.5,290.5,555,346
351,1179.5,289.5,553,347
352,1194.5,288.5,539,348
353,1191.5,287.5,546,349
354,1181.5,287.5,557,349
355,1180.5,287.5,558,349
356,1193.5,286.5,492,350
357,1178.5,284.5,561,352
358,1181.5,284.5,558,352
359,1179.5,284.5,562,352
360,1179.5,283.5,562,353
361,1195.5,283.5,487,353
362,1179.5,283.5,506,353
363,1181.5,282.5,396,354
364,1179.5,282.5,401,354
365,1184.5,282.5,398,354
366,1185.5,281.5,557,355
367,1189.5,281.5,562,355
368,1190.5,281.5,563,355
369,1195.5,280.5,559,356
370,1190.5,280.5,565,356
371,1197.5,280.5,558,356
372,1208.5,279.5,549,357
373,1209.5,279.5,381,355
374,1201.5,279.5,554,357
375,1201.5,280.5,390,356
376,1203.5,280.5,390,354
377,1203.5,279.5,561,357
378,1163.5,279.5,596,357
379,1201.5,279.5,557,357
380,1197.5,279.5,401,357
381,1209.5,280.5,558,356
382,1210.5,281.5,554,355
383,1212.5,281.5,391,355
384,1209.5,282.5,563,354
385,1215.5,282.5,557,354
386,1212.5,283.5,560,353
387,1218.5,283.5,555,353
388,1216.5,284.5,558,352
389,1221.5,284.5,554,352
390,1216.5,285.5,561,351
391,1216.5,286.5,563,350
392,1212.5,286.5,568,350
393,1218.5,287.5,394,349
394,1220.5,288.5,394,348
395,1214.5,289.5,401,347
396,1221.5,289.5,396,347
397,1218.5,291.5,566,345
398,1225.5,292.5,396,344
399,1220.5,292.5,570,344
400,1229.5,293.5,563,343
401,1229.5,293.5,396,343
402,1231.5,292.5,565,344
403,1218.5,294.5,581,342
404,1219.5,294.5,409,342
405,1239.5,295.5,390,341
406,1241.5,296.5,388,340
407,1220.5,295.5,412,341
408,1239.5,295.5,393,341
409,1238.5,296.5,396,340
410,1240.5,297.5,396,339
411,1232.5,298.5,578,338
412,1243.5,298.5,568,338
413,1235.5,298.5,407,338
414,1235.5,299.5,409,337
415,1244.5,299.5,405,337
416,1239.5,299.5,411,337
417,1241.5,299.5,408,337
418,1241.5,300.5,409,336
419,1241.5,300.5,410,336
420,1259.5,301.5,393,335
421,1260.5,302.5,392,334
422,1246.5,302.5,408,334
423,1247.5,302.5,407,334
424,1260.5,302.5,395,334
425,1255.5,303.5,401,333
426,1251.5,303.5,406,333
427,1250.5,304.5,407,332
428,1248.5,304.5,410,332
429,1266.5,305.5,393,331
430,1265.5,305.5,394,331
431,1266.5,305.5,393,331
432,1285.5,307.5,374,329
433,1265.5,308.5,394,328
434,1265.5,308.5,393,328
435,1257.5,308.5,402,328
436,1277.5,309.5,382,327
437,1278.5,309.5,382,327
438,1270.5,310.5,390,326
439,1258.5,311.5,402,325
440,1271.5,311.5,390,325
441,1270.5,312.5,391,324
442,1269.5,312.5,393,324
443,1269.5,312.5,394,324
444,1270.5,313.5,393,323
445,1271.5,314.5,392,322
446,1276.5,314.5,388,322
447,1270.5,314.5,395,322
448,1270.5,314.5,394,322
449,1270.5,315.5,394,321
450,1270.5,316.5,394,320
451,1270.5,316.5,395,320
452,1271.5,318.5,393,318
453,1272.5,318.5,394,318
454,1289.5,319.5,377,317
455,1293.5,319.5,373,317
456,1289.5,320.5,377,316
457,1287.5,321.5,379,315
458,1291.5,322.5,376,314
459,1294.5,322.5,374,314
460,1294.5,323.5,373,313
461,1277.5,324.5,391,312
462,1277.5,325.5,391,311
463,1277.5,325.5,390,311
464,1278.5,326.5,391,310
465,1289.5,326.5,378,310
466,1279.5,327.5,389,309
467,1298.5,327.5,370,309
468,1280.5,329.5,389,307
469,1280.5,339.5,389,297
470,1279.5,333.5,391,303
471,1299.5,334.5,372,302
472,1280.5,336.5,392,300
473,1299.5,343.5,372,293
474,1300.5,338.5,372,298
475,1300.5,338.5,370,298
476,1299.5,338.5,370,298
477,1263.5,339.5,406,297
478,1300.5,340.5,365,296
479,1302.5,340.5,361,296
480,1314.5,343.5,345,293
481,1315.5,342.5,340,294
482,1319.5,343.5,330,293
483,1335.5,343.5,309,293
484,1314.5,343.5,325,293
485,1342.5,343.5,293,293
486,1313.5,345.5,319,291
487,1313.5,346.5,316,290
488,1353.5,348.5,275,288
489,1351.5,348.5,276,288
490,1351.5,349.5,275,287
491,1352.5,349.5,273,287
492,1349.5,322.5,275,314
493,1349.5,323.5,274,313
494,1349.5,324.5,272,312
495,1349.5,325.5,269,311
496,1347.5,324.5,267,312
497,1347.5,326.5,267,310
498,1343.5,326.5,271,310
499,1341.5,361.5,272,275
500,1341.5,368.5,257,268
501,1340.5,363.5,254,273
502,1339.5,364.5,250,272
503,1339.5,358.5,278,278
504,1340.5,358.5,295,278
505,1342.5,364.5,226,272
506,1355.5,359.5,272,277
507,1338.5,358.5,290,278
508,1338.5,359.5,292,277
509,1337.5,358.5,292,278
510,1338.5,357.5,292,279
511,1377.5,355.5,253,281
512,1378.5,355.5,255,281
513,1376.5,354.5,258,282
514,1333.5,355.5,304,281
515,1328.5,357.5,313,279
516,1328.5,362.5,272,274
517,1328.5,363.5,274,273
518,1329.5,364.5,273,271
519,1325.5,362.5,274,274
520,1331.5,361.5,268,275
521,1371.5,360.5,225,276
522,1331.5,359.5,264,277
523,1331.5,359.5,265,277
524,1332.5,358.5,264,278
525,1342.5,358.5,253,278
526,1326.5,357.5,270,279
527,1324.5,357.5,273,279
528,1340.5,356.5,255,280
529,1369.5,357.5,226,279
530,1338.5,356.5,256,280
531,1317.5,356.5,278,280
532,1318.5,354.5,268,280
533,1322.5,355.5,262,279
534,1324.5,355.5,260,279
535,1323.5,331.5,313,303
536,1315.5,353.5,278,280
537,1314.5,353.5,280,280
538,1314.5,353.5,279,278
539,1314.5,352.5,279,279
540,1314.5,352.5,278,279
541,1327.5,352.5,265,279
542,1327.5,352.5,264,279
543,1318.5,352.5,273,279
544,1319.5,352.5,270,279
545,1318.5,353.5,271,278
546,1317.5,352.5,272,276
547,1325.5,352.5,264,280
548,1325.5,352.5,264,279
549,1325.5,352.5,265,280
550,1335.5,352.5,254,280
551,1329.5,353.5,260,280
552,1329.5,353.5,260,280
553,1326.5,353.5,263,281
554,1327.5,354.5,260,280
555,1327.5,353.5,260,282
556,1327.5,353.5,260,281
557,1327.5,354.5,256,281
558,1327.5,354.5,260,281
559,1315.5,355.5,272,280
560,1328.5,355.5,258,280
561,1320.5,355.5,264,281
562,1314.5,356.5,272,280
563,1314.5,356.5,272,280
564,1314.5,357.5,272,279
565,1314.5,357.5,273,279
566,1314.5,358.5,272,278
567,1319.5,358.5,266,278
568,1319.5,340.5,310,296
569,1319.5,358.5,265,278
570,1318.5,359.5,269,277
571,1321.5,360.5,266,276
572,1326.5,360.5,261,276
573,1321.5,361.5,263,275
574,1312.5,361.5,272,275
575,1311.5,340.5,315,296
576,1310.5,363.5,271,273
577,1312.5,364.5,268,272
578,1310.5,365.5,270,271
579,1309.5,366.5,271,270
580,1307.5,367.5,270,269
581,1308.5,344.5,317,292
582,1308.5,370.5,268,266
583,1312.5,345.5,313,291
584,1312.5,355.5,312,281
585,1312.5,356.5,312,280
586,1307.5,373.5,274,263
587,1309.5,374.5,272,262
588,1309.5,361.5,314,275
589,1309.5,370.5,313,266
590,1309.5,371.5,314,265
591,1307.5,364.5,315,272
592,1307.5,365.5,314,271
593,1307.5,379.5,270,257
594,1307.5,379.5,271,257
595,1308.5,362.5,312,274
596,1307.5,365.5,313,271
597,1311.5,365.5,308,271
598,1311.5,365.5,308,271
599,1304.5,367.5,315,269
600,1303.5,367.5,316,269
601,1304.5,367.5,314,269
602,1304.5,369.5,315,267
603,1304.5,371.5,314,265
604,1304.5,384.5,271,252
605,1303.5,385.5,272,251
606,1303.5,375.5,314,261
607,1303.5,378.5,314,258
608,1307.5,379.5,310,257
609,1306.5,386.5,268,250
610,1303.5,377.5,313,259
611,1304.5,379.5,312,257
612,1303.5,368.5,313,268
613,1305.5,370.5,311,266
614,1305.5,370.5,311,266
615,1304.5,370.5,311,266
616,1304.5,373.5,312,263
617,1307.5,373.5,307,263
618,1301.5,371.5,314,265
619,1305.5,381.5,309,255
620,1302.5,381.5,312,255
621,1300.5,392.5,270,244
622,1300.5,373.5,313,263
623,1300.5,373.5,314,263
624,1300.5,373.5,314,263
625,1300.5,375.5,313,261
626,1299.5,374.5,314,262
627,1299.5,375.5,314,261
628,1298.5,374.5,315,262
629,1299.5,377.5,313,259
630,1299.5,377.5,314,259
631,1300.5,377.5,313,294
632,1299.5,379.5,314,294
633,1299.5,379.5,314,294
634,1300.5,379.5,313,295
635,1300.5,378.5,313,302
636,1300.5,378.5,312,301
637,1301.5,381.5,311,295
638,1301.5,380.5,311,296
639,1300.5,401.5,269,279
640,1299.5,382.5,313,300
641,1299.5,403.5,270,279
642,1299.5,404.5,270,277
