frames,x1,y1,w,h
1,606.5,240.5,570,433
2,605.5,248.5,574,431
3,599.5,255.5,578,423
4,597.5,264.5,581,420
5,593.5,271.5,584,419
6,592.5,278.5,568,418
7,590.5,285.5,584,416
8,585.5,290.5,586,412
9,584.5,295.5,587,411
10,582.5,301.5,595,410
11,581.5,307.5,585,408
12,579.5,309.5,584,410
13,578.5,314.5,574,402
14,578.5,318.5,562,402
15,575.5,324.5,563,400
16,574.5,326.5,555,401
17,571.5,330.5,555,401
18,563.5,331.5,547,398
19,562.5,333.5,541,401
20,556.5,336.5,541,402
21,553.5,338.5,534,405
22,549.5,341.5,541,404
23,539.5,339.5,544,407
24,541.5,342.5,542,410
25,546.5,344.5,517,412
26,544.5,347.5,530,411
27,539.5,349.5,530,417
28,538.5,349.5,517,420
29,536.5,352.5,515,422
30,534.5,354.5,513,425
31,532.5,357.5,508,427
32,529.5,359.5,506,430
33,554.5,359.5,470,431
34,524.5,361.5,496,433
35,520.5,363.5,496,434
36,518.5,365.5,493,436
37,514.5,368.5,495,435
38,509.5,370.5,496,435
39,510.5,373.5,494,433
40,507.5,374.5,493,436
41,507.5,377.5,488,398
42,506.5,379.5,485,434
43,502.5,381.5,482,429
44,498.5,384.5,483,425
45,492.5,386.5,486,423
46,493.5,387.5,479,422
47,495.5,389.5,473,419
48,489.5,390.5,477,417
49,500.5,442.5,459,354
50,483.5,393.5,471,400
51,479.5,443.5,472,349
52,477.5,444.5,461,348
53,474.5,444.5,469,345
54,486.5,442.5,449,339
55,482.5,441.5,444,333
56,483.5,442.5,411,327
57,476.5,442.5,410,323
58,472.5,446.5,409,314
59,466.5,442.5,434,306
60,465.5,441.5,406,303
61,460.5,441.5,423,299
62,463.5,442.5,408,294
63,459.5,443.5,386,289
64,477.5,443.5,367,275
65,452.5,443.5,388,262
66,448.5,442.5,402,262
67,469.5,442.5,354,256
68,463.5,442.5,359,253
69,458.5,440.5,361,245
70,456.5,442.5,359,238
